epay_address,epay,vip_website_no,vip_address,elevate_name,company_name,elevate_name_new_qbo_class,ondigo_address,salesforce_id,rbfc_market,asm
"112 12th St NW, Canton, OH, 44703",493901,7869027,112 12th St NW,AK - 12th,Youngstown,AK - 12th-7524,"112 12th St NW, Canton, OH 44703-1803, US",0018000001HbIKnAAN,Akron,Nick
"1400 S Arlington St, Akron, OH, 44306",493899,7869031,1400 S Arlington St Unit 14,AK - Arlington,Youngstown,AK - Arlington-7511,"1400 S Arlington St, STE 14, Akron, OH 44306-3772, US",00180000016arsWAAQ,Akron,Nick
"921 E Market St, Akron, OH, 44305",493914,7869001,921 E Market St,AK - Market,Youngstown,AK - Market-7553,"921 E Market St, Akron, OH 44305-2425, US",0018000001HbMjgAAF,Akron,Nick
"2236 Tuscarawas St W, Canton, OH, 44708",493896,7869037,2236 Tuscarawas St W,AK - Tusc,Youngstown,AK - Tusc-7540,"2236 Tuscarawas St W, Canton, OH 44708-4748, US",0018000000uzv8BAAQ,Akron,Nick
"2105 S Union Ave, Alliance, OH, 44601",493897,7869035,2105 S Union Ave,AK - Union,Youngstown,AK - Union-7537,"2105 S Union Ave, Alliance, OH 44601-4961, US",0018000000RhKbVAAV,Akron,Nick
"3 N Bridge St, Chillicothe, OH, 45601",493920,7868987,3 N Bridge St,CB - Bridge St,Columbus,CB - Bridge St-6520,"3 N Bridge St, Chillicothe, OH 45601-2615, US",0018000001WZ268AAD,Columbus,Cristina
"3350 Cleveland Ave, Columbus, OH, 43224",493919,7868989,3350 Cleveland Ave,CB - Cleveland Ave,Columbus,CB - Cleveland Ave-7676,"3350 Cleveland Ave, STE 1956, Columbus, OH 43224-3677, US",0018000000kt0JxAAI,Columbus,Cristina
"755 Georgesville Rd, Columbus, OH, 43228",493915,7868997,755 Georgesville Rd,CB - Georgesville,Columbus,CB - Georgesville-6579,"755 Georgesville Rd, Columbus, OH 43228-2826, US",00180000016arrxAAA,Columbus,Cristina
"534 Norton Rd, Columbus, OH, 43228",489900,7868098,534 Norton Rd,CB - Michoacana,Columbus,CB - Michoacana-3544,"534 Norton Rd, Columbus, OH 43228-2617, US",0018000000shMTCAA2,Columbus,Cristina
"4378 Cleveland Ave, Columbus, OH, 43224",493917,7868993,4378 Cleveland Ave,CB - Morse,Columbus,CB - Morse-6546,"4378 Cleveland Ave, Columbus, OH 43224-1578, US",0013000000G82PFAAZ,Columbus,Cristina
"1060 Mt Vernon Rd, Newark, OH, 43055",489902,7868094,1060 Mount Vernon Rd,CB - Newark,Columbus,CB - Newark-3593,"1060 Mount Vernon Rd, Newark, OH 43055-3029, US",0018000000wH3MqAAK,Columbus,Cristina
"1110 Norton Road, Columbus, OH, 43228",492437,7868117,1110 Norton Rd,CB - Norton Plaza,Columbus,CB - Norton Plaza-3668,"1110 Norton Rd, Columbus, OH 43228, US",0018000000RhKYDAA3,Columbus,Cristina
"3639 W Broad St, Columbus, OH, 43228",493918,7868991,3639 W Broad St,CB - West Broad,Columbus,CB - West Broad-7689,"3639 W Broad St, Columbus, OH 43228-1450, US",0013000000G82PIAAZ,Columbus,Cristina
"1063 Linden Ave, Zanesville, OH, 43701",489907,7868102,1063 Linden Ave,CB - Zanesville,Columbus,CB - Zanesville-3726,"1063 Linden Ave, Zanesville, OH 43701-3050, US",0018000000kt0JwAAI,Columbus,Cristina
"1626 E Prospect Rd, Ashtabula, OH, 44004",493898,7869033,1626 E Prospect Rd,CL - Ashtabula,Cleveland,CL - Ashtabula-7498,"1626 E Prospect Rd, Ashtabula, OH 44004-5829, US",0018000001HZuimAAD,Cleveland,Jill
"6630 Broadway Ave, Cleveland, OH, 44105",493894,7868999,6630 Broadway Ave,CL - Broadway,Cleveland,CL - Broadway-7702,"6630 Broadway Ave, Cleveland, OH 44105-1310, US",0018000000wHsDkAAK,Cleveland,Jill
"11600 Buckeye Rd, Cleveland, OH, 44120",493900,7869029,11600 Buckeye Rd,CL - Buckeye,Cleveland,CL - Buckeye-7485,"11600 Buckeye Rd, Cleveland, OH 44120-2617, US",0013000000GjsNVAAZ,Cleveland,Jill
"1027 State Street, Erie, PA, 16501",470667,7483252,1027 State St,CL - Erie,PA,CL - Erie-1675,"1027 State St, Erie, PA 16501-1803, US",0012E00001u48zfQAA,Cleveland,Jill
"24 Public Sq, Cleveland, OH, 44113",493895,7869039,24 Public Sq,CL - Public Square,Cleveland,CL - Public Square-7692,"24 Public Sq, STE 100, Cleveland, OH 44113-2213, US",0018000001aLGgyAAG,Cleveland,Jill
"1052 Cleveland Rd, Sandusky, OH, 44870",493924,7868979,1052 Cleveland Rd,CL - Sandusky,Cleveland,CL - Sandusky-6413,"1052 Cleveland Rd, Sandusky, OH 44870-4034, US",0018000001DPcHjAAL,Cleveland,Jill
"10933 Superior Ave, Cleveland, OH, 44106",493902,7869025,10933 Superior Ave,CL - Superior,Cleveland,CL - Superior-7472,"10933 Superior Ave, UNIT B, Cleveland, OH 44106-1272, US",0018000001Z5PzYAAV,Cleveland,Jill
"1101 Brownsville Road, Mt Oliver, PA, 15210",470674,7483256,1101 Brownsville Rd,SP - Brownsville,PA,SP - Brownsville-5304,"1101 Brownsville Rd, BOOST MOBILE, Pittsburgh, PA 15210-3648, US",0018000001bOY8PAAW,South PA,Anthony
"709 Liberty Ave, Pittsburgh, PA, 15222",488350,7867892,709 Liberty Ave,NP - Liberty,PA,NP - Liberty-6681,"709 Liberty Ave, Ste 105, Pittsburgh, PA 15222, US",0018000001bYk3VAAS,North PA,Vikas
"2802 Lafayette Rd, Indianapolis, IN, 46222",493912,7869005,2802 Lafayette Rd,IN - Eagledale,Indiana,IN - Eagledale-7812,"2802 Lafayette Rd, STE 16, Indianapolis, IN 46222-2112, US",0018000000hsp7ZAAQ,Indianapolis,Imad
"3923 N High School Rd, Indianapolis, IN, 46254",493910,7869009,3923 N High School Rd,IN - High School,Indiana,IN - High School-7728,"3923 N High School Rd, Indianapolis, IN 46254-2710, US",0018000001BoqrmAAB,Indianapolis,Imad
"3701 N Post Rd, Indianapolis, IN, 46226",493911,7869007,3701 N Post Rd,IN - Post Rd,Indiana,IN - Post Rd-7595,"3701 N Post Rd, Indianapolis, IN 46226-6063, US",0018000000wGh6cAAC,Indianapolis,Imad
"3940 S Keystone Ave, Indianapolis, IN, 46227",493909,7869011,3940 S Keystone Ave,IN - S Keystone,Indiana,IN - S Keystone-7825,"3940 S Keystone Ave, STE 7, Indianapolis, IN 46227-3580, US",0018000000nljDAAAY,Indianapolis,Imad
"444 E Sumner Ave, Indianapolis, IN, 46227",493906,7869017,444 E Sumner Ave,IN - Sumner,Indiana,IN - Sumner-7841,"444 E Sumner Ave, STE E, Indianapolis, IN 46227-7218, US",0018000000wFpDTAA0,Indianapolis,Imad
"600 Twin Aire Dr, Indianapolis, IN, 46203",493904,7869021,600 Twin Aire Dr,IN - Twin Aire,Indiana,IN - Twin Aire-7618,"600 Twin Aire Dr, Indianapolis, IN 46203-1450, US",0018000000nljDCAAY,Indianapolis,Imad
"8975 E Washington St, Indianapolis, IN, 46219",493903,7869023,8975 E Washington St,IN - Washington,Indiana,IN - Washington-7621,"8975 E Washington St, STE 104, Indianapolis, IN 46219-6852, US",0018000000njPfjAAE,Indianapolis,Imad
"1908 E 53rd St, Anderson, IN, 46013",493913,7869003,1908 E 53rd St,NI - E 53rd,Indiana,NI - E 53rd-7473,"1908 E 53rd St, Anderson, IN 46013-2832, US",0018000001BrgiXAAR,North Indy,Ashlie
"4240 N Franklin Rd, Indianapolis, IN, 46226",493908,7869013,4240 N Franklin Rd,NI - Franklin,Indiana,NI - Franklin-7605,"4240 N Franklin Rd, STE 105, Indianapolis, IN 46226-4273, US",0018000000nljDBAAY,North Indy,Ashlie
"533 S Reed Rd, Kokomo, IN, 46901",493905,7869019,533 S Reed Rd,NI - Kokomo,Indiana,NI - Kokomo-7502,"533 S Reed Rd, Kokomo, IN 46901-5692, US",0018000001IiPRrAAN,North Indy,Ashlie
"4401 E 10th St, Indianapolis, IN, 46201",493907,7869015,4401 E 10th St,NI - Linwood,Indiana,NI - Linwood-7838,"4401 E 10th St, STE 14, Indianapolis, IN 46201-2754, US",0018000000nljCjAAI,North Indy,Ashlie
"1908 S Scatterfield Rd, Anderson, IN, 46016",493925,7868977,1908 S Scatterfield Rd,NI - Scatterfield,Indiana,NI - Scatterfield-7481,"1908 S Scatterfield Rd, Anderson, IN 46016-5725, US",00180000016b0uFAAQ,North Indy,Ashlie
"2687 Broadhead Road, Aliquippa, PA, 15001",470676,7483257,2687 Brodhead Rd,NP - Aliquippa,PA,NP - Aliquippa-9475,"2687 Brodhead Rd, Aliquippa, PA 15001-2767, US",0018000001XXFC1AAP,North PA,Vikas
"16280 Dresden Ave, Calcutta, OH, 43920",488488,7867907,16280 Dresden Ave,NP - Calcutta,Youngstown,NP - Calcutta-4073,"16280 Dresden Ave, East Liverpool, OH 43920, US",0018000001IiWQJAA3,North PA,Vikas
"1964 E State St, Hermitage, PA, 16148",479228,7798844,1964 E State St,YT - Hermitage,PA,YT - Hermitage-5636,"1964 E State St, Hermitage, PA 16148-1815, US",0018000000sgh4oAAA,Youngstown,Eddie
